Customer_ID,Customer_Type,Risk_Category,Country,Onboarding_Date
CUST1001,Retail,Low,India,24-11-2023
CUST1002,NRI,Low,USA,27-02-2023
CUST1003,NRI,Low,UK,13-01-2023
CUST1004,Retail,Medium,India,21-05-2023
CUST1005,Retail,Medium,India,06-05-2023
CUST1006,Retail,High,India,25-04-2023
CUST1007,Retail,Low,India,13-03-2023
CUST1008,NRI,Low,Singapore,22-02-2023
CUST1009,Retail,Medium,India,13-12-2023
CUST1010,NRI,Low,UK,07-10-2023
CUST1011,Retail,Low,India,14-02-2023
CUST1012,NRI,Low,USA,30-10-2023
CUST1013,NRI,Low,UK,05-08-2023
CUST1014,Retail,High,India,17-01-2023
CUST1015,Retail,Medium,India,16-01-2023
CUST1016,Retail,Medium,India,17-02-2023
CUST1017,Retail,Low,India,22-04-2023
CUST1018,Retail,Low,India,30-04-2023
CUST1019,Retail,Low,India,16-09-2023
CUST1020,Retail,Low,India,05-11-2023
CUST1021,Retail,Low,India,14-01-2023
CUST1022,Retail,Medium,India,15-10-2023
CUST1023,Retail,Medium,India,12-04-2023
CUST1024,Retail,Low,India,29-11-2023
CUST1025,Retail,High,India,26-12-2023
CUST1026,NRI,Medium,USA,07-10-2023
CUST1027,Retail,Medium,India,03-08-2023
CUST1028,Retail,Medium,India,23-04-2023
CUST1029,Retail,Low,India,18-08-2023
CUST1030,Retail,Low,India,29-10-2023
CUST1031,Retail,Low,India,23-05-2023
CUST1032,Retail,Medium,India,04-01-2023
CUST1033,Retail,Low,India,23-03-2023
CUST1034,NRI,Low,UK,24-12-2023
CUST1035,NRI,Low,USA,05-08-2023
CUST1036,NRI,Low,USA,24-06-2023
CUST1037,Retail,High,India,23-05-2023
CUST1038,Retail,Medium,India,21-03-2023
CUST1039,Retail,Low,India,21-04-2023
CUST1040,Retail,Low,India,22-06-2023
CUST1041,Retail,Low,India,22-02-2023
CUST1042,Retail,Low,India,17-02-2023
CUST1043,Retail,Low,India,14-07-2023
CUST1044,NRI,Low,USA,19-02-2023
CUST1045,Retail,Low,India,03-07-2023
CUST1046,Retail,Medium,India,26-06-2023
CUST1047,Retail,Medium,India,06-11-2023
CUST1048,Retail,Low,India,16-05-2023
CUST1049,Retail,Low,India,23-01-2023
CUST1050,Retail,Medium,India,24-08-2023
CUST1051,NRI,Low,Singapore,02-10-2023
CUST1052,NRI,High,UK,05-03-2023
CUST1053,NRI,Medium,UK,13-07-2023
CUST1054,NRI,Low,UK,10-02-2023
CUST1055,Retail,Low,India,10-10-2023
CUST1056,NRI,Medium,USA,31-05-2023
CUST1057,Retail,Low,India,18-11-2023
CUST1058,Retail,Medium,India,13-11-2023
CUST1059,Retail,High,India,05-07-2023
CUST1060,Retail,Medium,India,23-10-2023
CUST1061,Retail,Low,India,09-04-2023
CUST1062,Retail,Medium,India,27-12-2023
CUST1063,NRI,Low,UK,05-02-2023
CUST1064,Retail,Low,India,24-01-2023
CUST1065,Retail,High,India,05-12-2023
CUST1066,Retail,Low,India,27-04-2023
CUST1067,Retail,High,India,29-05-2023
CUST1068,NRI,High,UK,10-02-2023
CUST1069,Retail,Low,India,30-04-2023
CUST1070,NRI,Low,USA,21-02-2023
CUST1071,NRI,Low,UAE,14-07-2023
CUST1072,Retail,Low,India,23-05-2023
CUST1073,Retail,Low,India,21-08-2023
CUST1074,NRI,Medium,USA,22-11-2023
CUST1075,NRI,Low,UK,06-07-2023
CUST1076,NRI,Low,USA,25-03-2023
CUST1077,NRI,Medium,UAE,09-07-2023
CUST1078,Retail,Low,India,01-07-2023
CUST1079,Retail,Medium,India,18-04-2023
CUST1080,Retail,Low,India,10-12-2023
CUST1081,NRI,Low,USA,17-05-2023
CUST1082,Retail,Medium,India,26-12-2023
CUST1083,Retail,Medium,India,16-12-2023
CUST1084,Retail,High,India,28-11-2023
CUST1085,Retail,Medium,India,06-02-2023
CUST1086,Retail,Medium,India,08-11-2023
CUST1087,NRI,Low,UK,22-11-2023
CUST1088,Retail,Low,India,29-03-2023
CUST1089,NRI,Medium,UAE,01-10-2023
CUST1090,Retail,Medium,India,06-05-2023
CUST1091,Retail,High,India,25-03-2023
CUST1092,NRI,Low,Singapore,25-08-2023
CUST1093,NRI,Low,UK,14-07-2023
CUST1094,Retail,Medium,India,19-05-2023
CUST1095,NRI,Low,UAE,24-11-2023
CUST1096,Retail,High,India,19-12-2023
CUST1097,Retail,High,India,13-10-2023
CUST1098,Retail,Low,India,23-04-2023
CUST1099,Retail,Medium,India,17-12-2023
