KYC_ID,Customer_ID,KYC_Status,KYC_Start_Date,KYC_Completed_Date,AML_Flag,SLA_Days
KYC1,CUST1001,Completed,28-11-2023,02-12-2023 00:00,No,3
KYC2,CUST1002,Completed,01-03-2023,02-03-2023 00:00,No,3
KYC3,CUST1003,Completed,13-01-2023,17-01-2023 00:00,No,3
KYC4,CUST1004,Completed,23-05-2023,26-05-2023 00:00,Yes,3
KYC5,CUST1005,Completed,07-05-2023,11-05-2023 00:00,No,3
KYC6,CUST1006,Completed,28-04-2023,01-05-2023 00:00,No,3
KYC7,CUST1007,Completed,17-03-2023,21-03-2023 00:00,No,3
KYC8,CUST1008,Completed,22-02-2023,27-02-2023 00:00,Yes,3
KYC9,CUST1009,Completed,17-12-2023,21-12-2023 00:00,No,3
KYC10,CUST1010,Completed,08-10-2023,10-10-2023 00:00,No,3
KYC11,CUST1011,Completed,18-02-2023,20-02-2023 00:00,No,3
KYC12,CUST1012,Completed,30-10-2023,02-11-2023 00:00,No,3
KYC13,CUST1013,Pending,06-08-2023,,No,3
KYC14,CUST1014,Completed,21-01-2023,23-01-2023 00:00,No,3
KYC15,CUST1015,Completed,19-01-2023,20-01-2023 00:00,No,3
KYC16,CUST1016,Completed,18-02-2023,23-02-2023 00:00,No,3
KYC17,CUST1017,Completed,23-04-2023,28-04-2023 00:00,No,3
KYC18,CUST1018,Pending,03-05-2023,,No,3
KYC19,CUST1019,Completed,18-09-2023,19-09-2023 00:00,No,3
KYC20,CUST1020,Completed,05-11-2023,08-11-2023 00:00,No,3
KYC21,CUST1021,Completed,16-01-2023,17-01-2023 00:00,No,3
KYC22,CUST1022,Completed,19-10-2023,20-10-2023 00:00,Yes,3
KYC23,CUST1023,Pending,15-04-2023,,Yes,3
KYC24,CUST1024,Completed,01-12-2023,06-12-2023 00:00,No,3
KYC25,CUST1025,Pending,27-12-2023,,No,3
KYC26,CUST1026,Completed,11-10-2023,15-10-2023 00:00,No,3
KYC27,CUST1027,Pending,07-08-2023,,No,3
KYC28,CUST1028,Completed,25-04-2023,30-04-2023 00:00,No,3
KYC29,CUST1029,Completed,20-08-2023,25-08-2023 00:00,No,3
KYC30,CUST1030,Completed,01-11-2023,03-11-2023 00:00,No,3
KYC31,CUST1031,Pending,23-05-2023,,Yes,3
KYC32,CUST1032,Pending,06-01-2023,,No,3
KYC33,CUST1033,Completed,25-03-2023,26-03-2023 00:00,No,3
KYC34,CUST1034,Pending,25-12-2023,,No,3
KYC35,CUST1035,Completed,09-08-2023,14-08-2023 00:00,No,3
KYC36,CUST1036,Pending,24-06-2023,,Yes,3
