Request_ID,Customer_ID,Request_Type,Branch,RM_Name,Request_Date,Closure_Date,Status,Escalated
REQ1,CUST1098,KYC Update,Delhi,RM_E,08-10-2023,14-10-2023 00:00,Closed,No
REQ2,CUST1102,Document Upload,Bangalore,RM_E,01-01-2023,03-01-2023 00:00,Closed,Yes
REQ3,CUST1132,KYC Update,Chennai,RM_D,05-06-2023,,Open,No
REQ4,CUST1102,KYC Update,Chennai,RM_A,27-05-2023,04-06-2023 00:00,Closed,No
REQ5,CUST1019,Document Upload,Delhi,RM_A,18-04-2023,25-04-2023 00:00,Closed,No
REQ6,CUST1082,Document Upload,Hyderabad,RM_D,09-08-2023,,Open,No
REQ7,CUST1279,Address Change,Chennai,RM_C,24-10-2023,01-11-2023 00:00,Closed,No
REQ8,CUST1129,Address Change,Delhi,RM_B,07-11-2023,12-11-2023 00:00,Closed,No
REQ9,CUST1089,Address Change,Mumbai,RM_A,02-12-2023,09-12-2023 00:00,Closed,Yes
REQ10,CUST1213,Address Change,Hyderabad,RM_B,14-06-2023,,Open,No
REQ11,CUST1143,Address Change,Bangalore,RM_D,27-08-2023,,Open,No
REQ12,CUST1065,Document Upload,Chennai,RM_C,15-08-2023,24-08-2023 00:00,Closed,No
REQ13,CUST1076,KYC Update,Delhi,RM_C,15-08-2023,16-08-2023 00:00,Closed,Yes
REQ14,CUST1199,Address Change,Mumbai,RM_C,12-12-2023,18-12-2023 00:00,Closed,No
REQ15,CUST1143,Address Change,Bangalore,RM_D,20-04-2023,28-04-2023 00:00,Closed,No
REQ16,CUST1093,KYC Update,Delhi,RM_E,19-09-2023,20-09-2023 00:00,Closed,No
REQ17,CUST1224,Address Change,Delhi,RM_E,31-08-2023,09-09-2023 00:00,Closed,No
REQ18,CUST1291,KYC Update,Bangalore,RM_B,28-03-2023,02-04-2023 00:00,Closed,No
REQ19,CUST1102,KYC Update,Mumbai,RM_E,04-12-2023,12-12-2023 00:00,Closed,No
REQ20,CUST1267,Document Upload,Mumbai,RM_E,13-02-2023,23-02-2023 00:00,Closed,No
REQ21,CUST1110,Account Service,Hyderabad,RM_C,26-05-2023,,Open,No
REQ22,CUST1265,Document Upload,Chennai,RM_C,21-09-2023,,Open,Yes
REQ23,CUST1003,Account Service,Bangalore,RM_B,06-12-2023,07-12-2023 00:00,Closed,No
REQ24,CUST1085,Account Service,Bangalore,RM_A,21-11-2023,23-11-2023 00:00,Closed,No
REQ25,CUST1282,Account Service,Bangalore,RM_B,14-11-2023,16-11-2023 00:00,Closed,No
REQ26,CUST1117,Address Change,Mumbai,RM_B,21-06-2023,23-06-2023 00:00,Closed,Yes
REQ27,CUST1221,Document Upload,Chennai,RM_D,17-02-2023,20-02-2023 00:00,Closed,No
REQ28,CUST1154,Account Service,Hyderabad,RM_D,01-05-2023,06-05-2023 00:00,Closed,No
REQ29,CUST1153,KYC Update,Delhi,RM_B,11-12-2023,16-12-2023 00:00,Closed,Yes
REQ30,CUST1012,Address Change,Delhi,RM_B,08-06-2023,16-06-2023 00:00,Closed,Yes
REQ31,CUST1133,Document Upload,Bangalore,RM_B,26-04-2023,,Open,Yes
REQ32,CUST1293,Account Service,Chennai,RM_E,12-04-2023,21-04-2023 00:00,Closed,No
REQ33,CUST1300,KYC Update,Mumbai,RM_D,17-03-2023,21-03-2023 00:00,Closed,Yes
REQ34,CUST1228,Document Upload,Chennai,RM_B,13-01-2023,,Open,Yes
REQ35,CUST1271,Document Upload,Chennai,RM_C,24-01-2023,27-01-2023 00:00,Closed,No
REQ36,CUST1043,Address Change,Mumbai,RM_C,06-05-2023,,Open,No
REQ37,CUST1021,Document Upload,Bangalore,RM_E,01-09-2023,08-09-2023 00:00,Closed,Yes
REQ38,CUST1107,Address Change,Chennai,RM_E,09-11-2023,18-11-2023 00:00,Closed,Yes
REQ39,CUST1117,Account Service,Delhi,RM_A,07-02-2023,08-02-2023 00:00,Closed,Yes
REQ40,CUST1124,Address Change,Mumbai,RM_A,22-08-2023,27-08-2023 00:00,Closed,No
REQ41,CUST1281,KYC Update,Hyderabad,RM_A,01-08-2023,,Open,No
REQ42,CUST1292,Address Change,Bangalore,RM_E,19-11-2023,27-11-2023 00:00,Closed,Yes
REQ43,CUST1203,KYC Update,Mumbai,RM_E,22-10-2023,,Open,Yes
REQ44,CUST1051,Address Change,Hyderabad,RM_E,10-04-2023,18-04-2023 00:00,Closed,No
REQ45,CUST1271,Document Upload,Hyderabad,RM_C,23-12-2023,01-01-2024 00:00,Closed,No
REQ46,CUST1277,Account Service,Chennai,RM_E,16-07-2023,,Open,No
REQ47,CUST1141,KYC Update,Chennai,RM_C,11-09-2023,17-09-2023 00:00,Closed,No
REQ48,CUST1275,Address Change,Chennai,RM_A,24-07-2023,,Open,No
REQ49,CUST1290,Address Change,Mumbai,RM_A,05-05-2023,,Open,No
REQ50,CUST1052,Address Change,Mumbai,RM_A,17-03-2023,24-03-2023 00:00,Closed,No
REQ51,CUST1027,Document Upload,Bangalore,RM_B,02-12-2023,09-12-2023 00:00,Closed,No
REQ52,CUST1157,Document Upload,Chennai,RM_B,19-12-2023,27-12-2023 00:00,Closed,No
REQ53,CUST1239,KYC Update,Hyderabad,RM_D,03-01-2023,,Open,Yes
REQ54,CUST1156,KYC Update,Delhi,RM_D,24-02-2023,,Open,No
REQ55,CUST1291,Document Upload,Bangalore,RM_D,06-08-2023,09-08-2023 00:00,Closed,Yes
REQ56,CUST1136,KYC Update,Mumbai,RM_B,23-04-2023,24-04-2023 00:00,Closed,No
REQ57,CUST1144,Account Service,Bangalore,RM_B,01-04-2023,11-04-2023 00:00,Closed,No
REQ58,CUST1106,Account Service,Bangalore,RM_D,23-12-2023,25-12-2023 00:00,Closed,No
REQ59,CUST1158,Document Upload,Bangalore,RM_D,23-09-2023,,Open,Yes
REQ60,CUST1146,KYC Update,Bangalore,RM_E,26-08-2023,04-09-2023 00:00,Closed,No
